Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Brooklyn,Flatlands,40.6304460437575,-73.92911302644681,9,Pharmacy,Fast Food Restaurant,Caribbean Restaurant,Fried Chicken Joint,Video Store,Check Cashing Service,Lounge,Park,Paper / Office Supplies Store,Electronics Store
Brooklyn,Mill Island,40.60633642168567,-73.90818571777432,9,Food,Pool,Lake,Yoga Studio,Fish & Chips Shop,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market
Brooklyn,Manhattan Beach,40.57791350308661,-73.94353722891893,2,Café,Bus Stop,Beach,Food,Ice Cream Shop,Playground,Sandwich Place,Yoga Studio,Factory,Falafel Restaurant
Brooklyn,Coney Island,40.574292564716046,-73.98868295821644,9,Monument / Landmark,Caribbean Restaurant,Baseball Stadium,Gourmet Shop,Sandwich Place,Pizza Place,Pharmacy,Other Great Outdoors,Beach,Cosmetics Shop
Brooklyn,Bath Beach,40.599518702822415,-73.99875221443526,9,Pharmacy,Donut Shop,Chinese Restaurant,Kids Store,Fast Food Restaurant,Sushi Restaurant,Italian Restaurant,German Restaurant,Bagel Shop,Bakery
Brooklyn,Borough Park,40.63313051275804,-73.99049823044818,0,Bank,Fast Food Restaurant,Pizza Place,Restaurant,Bakery,Pharmacy,Hotel,Bistro,Bike Shop,Smoothie Shop
Brooklyn,Dyker Heights,40.61921945772268,-74.01931375636029,9,Bagel Shop,Burger Joint,Park,Golf Course,Hot Dog Joint,Dance Studio,Food Stand,Fountain,Eye Doctor,Factory
Brooklyn,Gerritsen Beach,40.590848433902075,-73.93010170691203,9,Bar,Harbor / Marina,Event Space,Pizza Place,Liquor Store,Seafood Restaurant,Boat or Ferry,Bagel Shop,Martial Arts Dojo,Convenience Store
Brooklyn,Marine Park,40.60974777989464,-73.93134404108504,0,Baseball Field,Deli / Bodega,Basketball Court,Gym,Ice Cream Shop,Soccer Field,Pizza Place,Athletics & Sports,Film Studio,Factory
Brooklyn,Clinton Hill,40.69322942188155,-73.96784306216374,9,Italian Restaurant,Pizza Place,Yoga Studio,Thai Restaurant,Restaurant,Mexican Restaurant,Grocery Store,Cocktail Bar,Japanese Restaurant,Wine Shop
Brooklyn,Sea Gate,40.576375378902284,-74.00787311200247,9,Sports Club,Optical Shop,Beach,Bus Station,Spa,Video Store,Yoga Studio,Fish & Chips Shop,Factory,Falafel Restaurant
Brooklyn,Downtown,40.69084402109806,-73.98346337431107,9,Burger Joint,Sandwich Place,Bakery,Spa,Diner,Coffee Shop,Cocktail Bar,Martial Arts Dojo,Bagel Shop,Grocery Store
Brooklyn,Boerum Hill,40.687241380657376,-73.98357724689187,9,Coffee Shop,Bar,Spa,Grocery Store,French Restaurant,Gym / Fitness Center,Gift Shop,Martial Arts Dojo,Middle Eastern Restaurant,Furniture / Home Store
Brooklyn,Prospect Lefferts Gardens,40.65842001746986,-73.95489867077721,9,Caribbean Restaurant,Bakery,Café,Pizza Place,Ice Cream Shop,Spanish Restaurant,Wine Shop,Indian Restaurant,Sushi Restaurant,Supermarket
Brooklyn,Ocean Hill,40.6784025547954,-73.91306831787405,3,Deli / Bodega,Convenience Store,Playground,Southern / Soul Food Restaurant,Bus Stop,Fried Chicken Joint,Intersection,Market,Donut Shop,Salad Place
Brooklyn,City Line,40.67856995727482,-73.86797598081344,9,Shoe Store,Donut Shop,Liquor Store,Pharmacy,Food Truck,Bakery,Flower Shop,Deli / Bodega,Fast Food Restaurant,Bank
Brooklyn,Bergen Beach,40.61514955045313,-73.89855633630323,9,Harbor / Marina,Baseball Field,Park,Playground,Athletics & Sports,Donut Shop,Film Studio,Factory,Falafel Restaurant,Farm
Brooklyn,Midwood,40.62559589869847,-73.95759523489845,0,Pizza Place,Italian Restaurant,Video Game Store,Field,Candy Store,Falafel Restaurant,Mediterranean Restaurant,Bakery,Pharmacy,Bagel Shop
Brooklyn,Prospect Park South,40.64700860318523,-73.96261316716055,0,Caribbean Restaurant,Fast Food Restaurant,Pizza Place,Pharmacy,Mobile Phone Shop,Clothing Store,Grocery Store,Latin American Restaurant,Donut Shop,Mattress Store
Brooklyn,Georgetown,40.62384524478424,-73.91607483951331,9,Breakfast Spot,Donut Shop,Pharmacy,Bank,American Restaurant,Miscellaneous Shop,Shopping Mall,Chinese Restaurant,Supplement Shop,Shoe Store
Brooklyn,Spring Creek,40.657139276582775,-73.86998779106547,9,Discount Store,Women's Store,Mobile Phone Shop,Kids Store,Clothing Store,Furniture / Home Store,Shopping Mall,Caribbean Restaurant,Bakery,Health & Beauty Service
Brooklyn,East Williamsburg,40.70849241041552,-73.93885815269203,9,Bar,Deli / Bodega,Cocktail Bar,Coffee Shop,Bakery,Concert Hall,Music Venue,Sandwich Place,Gym / Fitness Center,Vegetarian / Vegan Restaurant
Brooklyn,North Side,40.714822906532056,-73.95880857587589,9,Coffee Shop,American Restaurant,Yoga Studio,Bar,Pizza Place,Cocktail Bar,Burger Joint,Jewelry Store,French Restaurant,Vegetarian / Vegan Restaurant
Brooklyn,South Side,40.710861472650684,-73.95800095153338,9,Bar,Pizza Place,Coffee Shop,American Restaurant,Burger Joint,Chinese Restaurant,Breakfast Spot,Yoga Studio,BBQ Joint,Korean Restaurant
Brooklyn,Navy Yard,40.698790872180545,-73.97164435527614,9,Film Studio,Coffee Shop,Boxing Gym,History Museum,Thai Restaurant,Bank,Farm,Mexican Restaurant,Trail,Pier
Brooklyn,Ocean Parkway,40.613059766679456,-73.96836678035548,9,Restaurant,Sake Bar,Sushi Restaurant,Gym,Paper / Office Supplies Store,Gift Shop,Bagel Shop,General Entertainment,Liquor Store,Donut Shop
Brooklyn,Fort Hamilton,40.614768126942295,-74.0319791453799,9,Pizza Place,Sandwich Place,Café,Diner,Pharmacy,Steakhouse,Park,Japanese Restaurant,Chinese Restaurant,Italian Restaurant
